Start Time,End Time,Age,Gender,lng,lat,Campaign Start Time,Campaign End Time,Amount Spent,Swipe Ups,Purchases,Purchases Value,Total Impressions,Paid Impressions,Adds to Cart Web,Adds to Cart,Checkouts Started,Category,Sub Category,Campaign Name
2020-04-21 00:00:00 AST,2020-04-22 00:00:00 AST,25-34,Female,45.16650165,18.34124806,2020-04-21 17:00:54 AST,2020-04-27 23:59:59 AST,1.56,17,0,0,6576,6576,0,0,0,Promotion,Clickable Flyer,Happy Ramadan Campaign
2020-04-21 00:00:00 AST,2020-04-22 00:00:00 AST,35+,Female,45.16650165,18.34124806,2020-04-21 17:00:54 AST,2020-04-27 23:59:59 AST,1.14,18,1,28.26,5215,5215,0,12,3,Promotion,Clickable Flyer,Happy Ramadan Campaign
2020-04-21 00:00:00 AST,2020-04-22 00:00:00 AST,18-20,Male,42.69841226,18.97458543,2020-04-21 17:00:54 AST,2020-04-27 23:59:59 AST,0,0,0,0,22,22,0,0,0,Promotion,Clickable Flyer,Happy Ramadan Campaign
2020-04-21 00:00:00 AST,2020-04-22 00:00:00 AST,21-24,Male,42.69841226,18.97458543,2020-04-21 17:00:54 AST,2020-04-27 23:59:59 AST,0.01,0,0,0,33,33,0,0,0,Promotion,Clickable Flyer,Happy Ramadan Campaign
2020-04-21 00:00:00 AST,2020-04-22 00:00:00 AST,25-34,Male,38.44848069,38.85123071,2020-04-21 17:00:54 AST,2020-04-27 23:59:59 AST,0.1,2,0,0,439,439,0,0,0,Promotion,Clickable Flyer,Happy Ramadan Campaign
2020-04-21 00:00:00 AST,2020-04-22 00:00:00 AST,35+,Male,36.6272959,28.20195657,2020-04-21 17:00:54 AST,2020-04-27 23:59:59 AST,0.25,1,0,0,1054,1054,0,0,2,Promotion,Clickable Flyer,Happy Ramadan Campaign
2020-04-21 00:00:00 AST,2020-04-22 00:00:00 AST,18-20,Female,36.6272959,28.20195657,2020-04-21 17:00:54 AST,2020-04-27 23:59:59 AST,0.04,1,0,0,171,171,0,3,0,Promotion,Clickable Flyer,Happy Ramadan Campaign
2020-04-21 00:00:00 AST,2020-04-22 00:00:00 AST,21-24,Female,40.21003917,21.30844156,2020-04-21 17:00:54 AST,2020-04-27 23:59:59 AST,0.17,3,0,0,785,785,0,0,0,Promotion,Clickable Flyer,Happy Ramadan Campaign
2020-04-22 00:00:00 AST,2020-04-23 00:00:00 AST,25-34,Female,42.83586075,17.32414503,2020-04-21 17:00:54 AST,2020-04-27 23:59:59 AST,132.44,1629,98,5229.29,392385,392385,0,1742,480,Promotion,Clickable Flyer,Happy Ramadan Campaign
2020-04-22 00:00:00 AST,2020-04-23 00:00:00 AST,35+,Female,41.32409757,27.54263114,2020-04-21 17:00:54 AST,2020-04-27 23:59:59 AST,116.34,1461,59,3899.56,323577,323577,0,1109,267,Promotion,Clickable Flyer,Happy Ramadan Campaign
2020-04-22 00:00:00 AST,2020-04-23 00:00:00 AST,18-20,Male,41.79308608,30.99900163,2020-04-21 17:00:54 AST,2020-04-27 23:59:59 AST,3.06,68,1,82.93,13992,13992,0,10,11,Promotion,Clickable Flyer,Happy Ramadan Campaign
2020-04-22 00:00:00 AST,2020-04-23 00:00:00 AST,21-24,Male,46.6794872,24.82390293,2020-04-21 17:00:54 AST,2020-04-27 23:59:59 AST,6.31,116,2,40.22,24423,24423,0,17,14,Promotion,Clickable Flyer,Happy Ramadan Campaign
